Date,High,Low,Open,Close,Volume,Adj Close
2008-12-31,8998.400390625,8790.400390625,8794.5,8987.7001953125,19776560000,8987.7001953125
2009-01-02,9235.2001953125,8918.099609375,8951.900390625,9234.099609375,15068630000,9234.099609375
2009-01-05,9372.900390625,9116.0,9233.0,9285.5,24253910000,9285.5
2009-01-06,9505.7001953125,9285.5,9409.7998046875,9472.099609375,26395330000,9472.099609375
2009-01-07,9472.099609375,9100.2001953125,9362.900390625,9121.2998046875,22208470000,9121.2998046875
2009-01-08,9224.099609375,9016.7001953125,9075.5,9221.599609375,20407730000,9221.599609375
2009-01-09,9267.5,9053.2001953125,9237.7998046875,9085.2001953125,19951920000,9085.2001953125
2009-01-12,9085.2001953125,8751.599609375,8952.5,8793.2998046875,21080190000,8793.2998046875
2009-01-13,8986.2001953125,8793.2998046875,8826.400390625,8961.599609375,20353190000,8961.599609375
2009-01-14,8961.599609375,8608.599609375,8863.7998046875,8688.400390625,28519490000,8688.400390625
2009-01-15,8879.599609375,8471.0,8730.7998046875,8879.599609375,33360030000,8879.599609375
2009-01-16,9082.099609375,8734.400390625,9082.099609375,8920.400390625,21011080000,8920.400390625
2009-01-19,8920.400390625,8807.7001953125,8864.2998046875,8841.5,9588060000,8841.5
2009-01-20,8869.2998046875,8486.2998046875,8867.900390625,8504.900390625,27103210000,8504.900390625
2009-01-21,8763.5,8392.099609375,8574.5,8757.900390625,24597110000,8757.900390625
2009-01-22,8757.900390625,8472.5,8619.2001953125,8486.599609375,21089490000,8486.599609375
2009-01-23,8687.7998046875,8387.599609375,8428.5,8628.0,27241020000,8628.0
2009-01-26,8821.900390625,8539.400390625,8700.099609375,8656.5,19654470000,8656.5
2009-01-27,8762.7001953125,8621.400390625,8692.099609375,8759.599609375,18325140000,8759.599609375
2009-01-28,8966.7001953125,8759.599609375,8900.5,8906.2001953125,27116210000,8906.2001953125
2009-01-29,8906.2001953125,8740.7998046875,8815.5,8762.7998046875,23191490000,8762.7998046875
2009-01-30,8901.5,8579.900390625,8901.5,8694.900390625,26480130000,8694.900390625
2009-02-02,8694.900390625,8533.599609375,8603.0,8624.7998046875,18657330000,8624.7998046875
2009-02-03,8663.0,8540.5,8643.900390625,8628.599609375,20660680000,8628.599609375
2009-02-04,8814.0,8628.599609375,8700.0,8693.099609375,28262300000,8693.099609375
2009-02-05,8861.0,8607.5,8708.099609375,8861.0,24366150000,8861.0
2009-02-06,9102.0,8824.7001953125,8827.099609375,9008.0,24533000000,9008.0
2009-02-09,9151.599609375,8997.400390625,9055.7998046875,9047.2998046875,19410300000,9047.2998046875
2009-02-10,9114.5,8771.7998046875,9084.2998046875,8817.900390625,23252670000,8817.900390625
2009-02-11,8919.2001953125,8731.2001953125,8840.2998046875,8737.900390625,28201590000,8737.900390625
2009-02-12,8785.099609375,8590.5,8698.2998046875,8778.7998046875,24273250000,8778.7998046875
2009-02-13,8797.0,8669.2001953125,8797.0,8678.099609375,17755520000,8678.099609375
2009-02-17,8678.099609375,8351.900390625,8630.2998046875,8378.7001953125,23061920000,8378.7001953125
